key,value
nav.brand,OLYMPIANS UNITED
nav.team,The Team
nav.accomplishments,Our Accomplishments
nav.actionPlan,2026 Action Plan
nav.joinMovement,Join the Movement
hero.badge,Official 2026 Campaign
hero.title1,New Leadership.
hero.title2,Proven Experience.
hero.subtitle,An Olympic Champion. An NBA Star. A Business Wizard.
hero.subtitleHighlight,Fresh ideas built on what works.
hero.ctaPrimary,Meet the Slate
hero.ctaSecondary,View 2026 Action Plan
voteBanner.label,The Complete Package:
voteBanner.candidates,Pernilla (President) + Lumi (Secretary General) + Thomas (Treasurer)
collaboration.highlight,Three Continents. One Unified Vision.
collaboration.subtitle,Leadership that represents all Olympians.
team.sectionLabel,Meet the Candidates
team.sectionTitle,The Team That
team.sectionTitleHighlight,Delivers
team.sectionSubtitle,"Together, we bring Olympic legacy, global business acumen, and athlete advocacy experience."
team.viewFullProfile,View Full Profile
team.forPresident,For President
team.forSecretaryGeneral,For Secretary General
team.forTreasurer,For Treasurer
team.videoIntroduction,Video Introduction
team.biography,Biography
team.athleticAchievements,Athletic Achievements
team.governanceExperience,Governance Experience
team.keyAchievement,Key Achievement
team.trackRecord,Track Record
team.business,Business
team.philosophy,Philosophy
team.education,Education
team.myVision,My Vision for the WOA
team.videos,Videos
team.photoGallery,Photo Gallery
team.close,Close
team.followOn,Follow on
team.visitWebsite,Visit Website
team.athleticHighlights,Athletic Highlights
team.country,Country
team.basedIn,Based In
team.connect,Connect
core.sectionLabel,Why Choose Us
core.sectionTitle,Three Reasons.
core.sectionTitleHighlight,One Clear Choice.
core.sectionSubtitle,New leadership with the experience to deliver and the vision to go further.
core.built.title,We Know What Works
core.built.subtitle,The Modern WOA
core.built.description,"We were aligned on the key NOA priorities ahead of the 2024 Lausanne EGA. We understand what NOAs have shared with us so far about what they value, what has worked well, and where improvements are needed. Our team is committed to protecting the progress already made while moving the WOA forward in a fresh and practical new direction."
core.secure.title,We Secured It
core.secure.subtitle,Independent & Trusted
core.secure.description,"Together, our team helped champion the protection of WOA independence while rebuilding a productive working relationship with the IOC that delivers funding and new opportunities for WOA, the NOAs, and Olympians."
core.lead.title,We're Listening
core.lead.subtitle,The Right Team
core.lead.description,"An Olympic Champion, an NBA Star, and a Business Wizard—with complementary expertise: Pernilla brings Olympic governance and IOC experience, Lumi brings professional sport business insight, Thomas brings financial and technology acumen. The complete package, listening to your needs."
achievements.sectionLabel,"Building on Progress, Preparing the Next Phase"
achievements.sectionTitle,The WOA
achievements.sectionTitleHighlight,Today
achievements.sectionSubtitle,Worth protecting. Worth expanding.
achievements.viewAll,View All {count} Achievements
achievements.showLess,Show Less
achievements.relatedResources,Related Resources
achievements.quote,"The WOA once had no grants, no scholarships, no NOA toolkits, no Development Officers. Today it does. Pernilla has been part of building this foundation. Our team will protect and expand these gains."
achievements.quoteCTA,Continue what works!
achievements.items.olyDesignation.title,OLY Designation
achievements.items.olyDesignation.description,OLY post-nominal letters for all Olympians worldwide
achievements.items.worldForum.title,World Olympians Forum
achievements.items.worldForum.description,Global gathering of Olympians
achievements.items.serviceToSociety.title,Service to Society Grants
achievements.items.serviceToSociety.description,Funding for Olympians making community impact
achievements.items.iocFunding.title,IOC Funding Increase
achievements.items.iocFunding.description,Funding from the IOC has grown to more than triple previous levels.
achievements.items.devOfficers.title,Development Officers
achievements.items.devOfficers.description,Regional development officers to support NOAs
achievements.items.devGrants.title,Development Grants
achievements.items.devGrants.description,Development grants to help grow NOAs
achievements.items.olyHouseRio.title,OLY House Rio
achievements.items.olyHouseRio.description,Award-winning OLY House at Rio 2016
achievements.items.serviceToOlympians.title,Service to Olympians Grants
achievements.items.serviceToOlympians.description,Direct support for Olympians
achievements.items.olyHouseParis.title,OLY House Paris
achievements.items.olyHouseParis.description,Best OLY House ever at Paris 2024
achievements.items.fundraising.title,Fundraising Success
achievements.items.fundraising.description,Millions raised to fund OLY Houses and World Olympians Forums
achievements.items.scholarships.title,University Scholarships
achievements.items.scholarships.description,Education opportunities for Olympians worldwide
achievements.items.olyCeremonies.title,OLY Ceremonies
achievements.items.olyCeremonies.description,Established recognition ceremonies for Olympians
achievements.items.healthResearch.title,Health Research
achievements.items.healthResearch.description,First-ever global musculoskeletal health survey of Olympians
achievements.items.olympiansForLife.title,Olympians for Life
achievements.items.olympiansForLife.description,Olympians for Life awards and ceremonies
achievements.items.website.title,Olympian.org Website
achievements.items.website.description,Rebuilt Olympian.org website
achievements.items.noaGuide.title,NOA Guide & Toolkits
achievements.items.noaGuide.description,Comprehensive NOA Guide and Toolkits
achievements.items.relationships.title,Relationship Network
achievements.items.relationships.description,"Built relationships with World Academy of Sport, SkillsBuild, and more"
achievements.items.iocAgreement.title,New Agreement with IOC
achievements.items.iocAgreement.description,"Secured independence, long-term funding and stability for all WOA programs"
achievements.items.campaigns.title,Successful Global Campaigns
achievements.items.campaigns.description,When Ebola struck and our NOAs asked for help the WOA launched #TargetEbola and thanks to the global Olympian community the WOA sent containers of medical and other supplies to Sierra Leone and Liberia. The #OlympiansforUkraine campaign raised funding to help displaced Ukrainian Olympian families.
actionPlan.sectionLabel,
actionPlan.sectionTitle,Our 2026
actionPlan.sectionTitleHighlight,Action Plan
actionPlan.sectionSubtitle,"We don't just have slogans. We have a concrete, funded, and actionable roadmap to modernize the WOA and empower National Olympians Associations."
actionPlan.whyMatters,Why this matters
actionPlan.whyMattersText,"This is about your life and the lives of all Olympians. Building on the strong base already created, the WOA, guided by your input and supported by an experienced and well-connected team, will expand your services, safeguard your rights, and help you pursue your professional goals and aspirations."
actionPlan.commitment,Commitment
actionPlan.viewAll,View All {count} Commitments
actionPlan.showLess,Show Less
actionPlan.items.relations.title,Independent but Collaborative IOC Relations
actionPlan.items.relations.description,"We will maintain WOA's independence while working constructively with the IOC and other partners. Our role is to connect, support and ensure Olympians' voices are heard."
actionPlan.items.rights.title,"Health, Pensions & Image Sovereignty"
actionPlan.items.rights.description,"We will champion a global safety net for Olympians, lobbying for health insurance coverage and pension schemes. Furthermore, we will campaign hard for the protection of your Intellectual Property and Olympic Image Rights post-Games. Once the competition ends, your likeness and your data should belong to you, and we will work hard to secure the frameworks that ensure you control your own legacy."
actionPlan.items.reform.title,Maintaining and Enhancing Gender Equity
actionPlan.items.reform.description,We are committed to safeguarding and strengthening the historic 50/50 continental gender-representation reform advanced by the WOA Constitution Committee under Pernilla Wiberg's leadership.
actionPlan.items.transparency.title,Financial Transparency and Governance
actionPlan.items.transparency.description,"The current administration shifted from publishing WOA audit reports every four years to publishing them annually. We will continue that practice and strengthen it by adopting the latest financial and governance standards. Consolidated WOA reports will be made available on the WOA website. We will also carry out a full 360 review of all WOA processes and priorities, and we will survey every NOA to ensure their views, needs, and expectations are fully reflected in the next phase of our work."
actionPlan.items.empowerment.title,Building NOA Empowerment
actionPlan.items.empowerment.description,We will appoint a Development Officer for every continent and prioritise regional and continental workshops and meetings to build NOA capacity and experience.
actionPlan.items.digital.title,Supercharging OLY Connect
actionPlan.items.digital.description,"We will leverage Thomas Tang's tech expertise to make OLY Connect the indispensable app for Olympians that provides them with benefits, opportunities, connections, and business, career and life networking and support."
actionPlan.items.legacy.title,Increasing NOA Grants
actionPlan.items.legacy.description,The NOA Development Grants and Service to Society and Service to Olympians Grants are always oversubscribed. We will raise more funding to increase the number of grants we can award every year.
endorsement.quote,"For 14 years, we've worked tirelessly to create today's WOA which serves Olympians needs and empowers them to give back to their communities through our many services, initiatives and grants. Pernilla, Lumi, and Thomas have been integral to many of these achievements. They have my full confidence to continue this work and take the WOA to even greater heights. And, crucially, to protect our independence."
endorsement.author,Joël Bouzou
endorsement.title,WOA President (2011-2026)
contact.title,Work with us to take the WOA to the next level.
contact.subtitle,"We want to hear from Olympians and National Olympians Associations. Request a meeting with Pernilla, Lumi, or Thomas to discuss the needs of your NOA and your Olympians."
contact.tagline,We built it. We secured it. We'll work with you to grow it.
contact.form.nameLabel,Full Name (OLY)
contact.form.namePlaceholder,"Jane Doe, OLY"
contact.form.noaLabel,National Association
contact.form.noaPlaceholder,e.g. French Olympians Association
contact.form.emailLabel,Email Address
contact.form.emailPlaceholder,jane@example.com
contact.form.whatsappLabel,WhatsApp Number
contact.form.whatsappPlaceholder,+1 234 567 8900
contact.form.messageLabel,Message
contact.form.messagePlaceholder,Any questions or information you'd like to share...
contact.form.privacyLabel,I agree to the Privacy Policy and consent to having my data processed.
contact.form.submit,Request Meeting
contact.form.submitting,Sending...
contact.success.title,Request Sent!
contact.success.message,We will be in touch shortly to schedule.
contact.success.another,Submit another request
contact.error,Something went wrong. Please try again or contact us directly.
footer.brand,OLYMPIANS UNITED
footer.description,"We are a group of OLYs dedicated to serving the World Olympians Association with integrity, transparency, and action."
footer.navigation,Navigation
footer.navMission,Our Mission
footer.navCandidates,The Candidates
footer.navActionPlan,2026 Action Plan
footer.legal,Legal
footer.privacyPolicy,Privacy Policy
footer.copyright,2026 Olympians United Campaign. All rights reserved.
footer.tagline,Built for the future of sport.
privacy.title,Privacy Policy
privacy.lastUpdated,Last updated: December 2025
privacy.sections.collection.title,Information We Collect
privacy.sections.collection.content,"We collect information you provide directly, including your name, email address, National Olympians Association, WhatsApp number, and any messages you submit through our contact form."
privacy.sections.usage.title,How We Use Your Information
privacy.sections.usage.content,"We use your information to respond to your inquiries, schedule meetings with our candidates, and communicate about the Olympians United 2026 campaign. We do not sell or share your personal information with third parties for marketing purposes."
privacy.sections.thirdParty.title,Third-Party Services
privacy.sections.thirdParty.content,Our website may embed content from third-party services such as YouTube and Vimeo for video content. These services may collect information about your visit. Please refer to their respective privacy policies for more information.
privacy.sections.retention.title,Data Retention
privacy.sections.retention.content,"All personal data collected through this website will be permanently deleted at the end of January 2026, following the conclusion of the WOA election campaign."
privacy.sections.rights.title,Your Rights
privacy.sections.rights.content,"You have the right to access, correct, or delete your personal information. To exercise these rights, please contact us using the contact form on our website."
privacy.sections.contact.title,Contact Us
privacy.sections.contact.content,"If you have questions about this Privacy Policy, please use the contact form on our website to reach us."
privacy.close,Close
candidates.pernilla.name,"Pernilla Wiberg, OLY"
candidates.pernilla.role,For President
candidates.pernilla.sport,Alpine Skiing
candidates.pernilla.country,Sweden
candidates.pernilla.location,Sweden & Monaco
candidates.pernilla.keyAchievement,Double Olympic Champion with 20+ years of sports administration and athlete advocacy. Led the WOA constitutional reforms enabling 50/50 gender representation.
candidates.pernilla.philosophy,Make every-day life better for Olympians. Walk the talk.
candidates.pernilla.business,"Entrepreneur, investor and business leader. CEO of Pernilla Wiberg Sportpromotion."
candidates.pernilla.achievements[0],"Triple Olympic Medalist (Gold 1992, Gold 1994, Silver 1998)"
candidates.pernilla.achievements[1],4x World Champion
candidates.pernilla.achievements[2],24 Individual World Cup Victories
candidates.pernilla.achievements[3],FIS World Cup Overall Champion 1997
candidates.pernilla.achievements[4],Winner of World Cup races in all 5 disciplines
candidates.pernilla.achievements[5],Renowned TV Broadcaster
candidates.pernilla.governance[0],"IOC Member (2002–2010): Athletes', Ethics, Nominations, Coordination Commissions"
candidates.pernilla.governance[1],Chaired IOC Evaluation Commission for 1st Winter Youth Olympic Games (2008)
candidates.pernilla.governance[2],WOA IOC Athletes' Commission Representative (2020–2025)
candidates.pernilla.governance[3],WOA Vice President (Current)
candidates.pernilla.governance[4],Champions for Peace Member
candidates.pernilla.bioFull,"Pernilla Wiberg is a legend on the slopes and a powerhouse in the boardroom. As a Triple Olympic Medalist with 24 individual World Cup victories, 61 World Cup podiums, and the 1997 Overall World Cup title, she is one of the few skiers in history to win races in all five alpine disciplines—her 1991 World Championship gold was the first for a Scandinavian woman in 33 years.

Beyond competition, she became a renowned TV sports commentator for Sveriges Television (SVT). In governance, she served as an IOC Member for eight years across multiple commissions, chaired the IOC Evaluation Commission for the first Winter Youth Olympic Games, and represented the WOA on the IOC Athletes' Commission from 2020–2025.

As current WOA Vice President, she was instrumental in the historic 50/50 continental gender representation reform of the WOA consitution. A Champions for Peace member and successful entrepreneur, she has business interested in hospitality, such as the Pernilla Wiberg Hotel in Sweden and is CEO of Pernilla Wiberg Sportpromotion. Based in Sweden and Monaco since 1995—strategically positioned near WOA Patron Prince Albert and the IOC in Lausanne. She is married to Bødvar Bjerke from Norway and has two children: Axel (born 2003) and Sofia (born 2007). Pernilla is fluent in Swedish, English, French, German, and Norwegian."
candidates.pernilla.manifesto,"As Olympians, we need the WOA. To connect, support, and empower us, and help us through our life transition, and particularly to advocate for our rights within the Olympic Movement.

We need a strong, independent WOA working hard to meet our needs, to help you grow your NOA, and your community projects.

WOA has done a lot the past 14 years. Gender equality in the continental groupings, creation of OLY and the NOA grants programs. Development Officers, University scholarships, ""Target Ebola"" and ""Olympians for Ukraine"" campaigns, the ""World Olympians Forum"" and the ""Olympians Health Survey."" None of that existed before.

Through my work as WOA Vice President, I have engaged closely with many NOAs around the world and gained a clear understanding of your priorities, successes, and challenges. That experience provides a strong foundation, but I want to deepen that engagement and ensure every NOA and every Olympian has a structured opportunity to shape the next phase of the WOA's work.

The Olympic Games generate lots of money, is it correctly divided? Do Olympians have access to a pension system? Do we have access to a health system or an insurance throughout our lives? Do we have full access to the footage of our performance at the Games?

But I would like to hear from you in a more structured way. My first task, if elected, will be to undertake a full 360 review of our processes, our priorities, and a survey of your wishes and needs.

Together we can make a real impact, by not being afraid of change or tackling the difficult subjects, by listening to each other and working together.

As Olympians we have a power. Let us use it. I am ready to take on the challenge, are you?"
candidates.lumi.name,"Olumide Oyedeji, OLY"
candidates.lumi.role,For Secretary General
candidates.lumi.sport,Basketball
candidates.lumi.country,Nigeria
candidates.lumi.location,"Lagos, Nigeria"
